gene_symbol,n_features,features,n_feature_IDs,n_omes,omes,n_tissues,tissues
Rabgap1,1,PHOSPHO;LIVER;NP_001101311.1_T133t,1,1,PHOSPHO,1,LIVER
Etnk1,1,PROT;LIVER;NP_001101364.1,1,1,PROT,1,LIVER
Virma,1,PHOSPHO;LIVER;NP_001101385.1_S138s,1,1,PHOSPHO,1,LIVER
Cpne3,1,PROT;WAT-SC;NP_001101387.2,1,1,PROT,1,WAT-SC
Pm20d2,1,PROT;HEART;NP_001101392.2,1,1,PROT,1,HEART
Foxj3,1,PROT;WAT-SC;NP_001101441.1,1,1,PROT,1,WAT-SC
Zmpste24,1,PROT;WAT-SC;NP_001101444.1,1,1,PROT,1,WAT-SC
Nt5c1a,1,PROT;SKM-GN;NP_001101446.1,1,1,PROT,1,SKM-GN
Fdx2,1,PROT;LUNG;NP_001101472.1,1,1,PROT,1,LUNG
L2hgdh,1,PROT;SKM-GN;NP_001101498.1,1,1,PROT,1,SKM-GN
Cbarp,1,PHOSPHO;WAT-SC;NP_001101540.1_S23s,1,1,PHOSPHO,1,WAT-SC
Eea1,1,PROT;HEART;NP_001101556.1,1,1,PROT,1,HEART
Copz1,1,PROT;LIVER;NP_001101587.1,1,1,PROT,1,LIVER
Timm29,1,PROT;LIVER;NP_001101599.1,1,1,PROT,1,LIVER
Cilp,1,PROT;WAT-SC;NP_001101631.1,1,1,PROT,1,WAT-SC
Ky,1,PROT;SKM-GN;NP_001101650.1,1,1,PROT,1,SKM-GN
Lama1,1,PROT;KIDNEY;NP_001101707.2,1,1,PROT,1,KIDNEY
Gtf3c3,1,PROT;LIVER;NP_001101709.1,1,1,PROT,1,LIVER
Was,1,PROT;LUNG;NP_001101718.1,1,1,PROT,1,LUNG
Timm17b,1,PROT;LIVER;NP_001101719.1,1,1,PROT,1,LIVER
Htatsf1,3,PROT;LIVER;NP_001101729.1|PHOSPHO;LIVER;NP_001101729.1_S441s|PHOSPHO;LIVER;NP_001101729.1_S446s,3,2,"PHOSPHO,PROT",1,LIVER
Sat2,1,PROT;LIVER;NP_001101748.1,1,1,PROT,1,LIVER
Luc7l3,1,PROT;WAT-SC;NP_001101761.1,1,1,PROT,1,WAT-SC
Taco1,1,PROT;SKM-GN;NP_001101772.1,1,1,PROT,1,SKM-GN
Rcc1l,1,PROT;LIVER;NP_001101802.1,1,1,PROT,1,LIVER
Sdsl,1,PROT;KIDNEY;NP_001101806.1,1,1,PROT,1,KIDNEY
Hscb,1,PROT;LIVER;NP_001101810.1,1,1,PROT,1,LIVER
Ppp4r3b,1,PHOSPHO;LIVER;NP_001101837.1_T698t,1,1,PHOSPHO,1,LIVER
Scel,1,PHOSPHO;KIDNEY;NP_001101858.1_S67s,1,1,PHOSPHO,1,KIDNEY
Obi1,1,PHOSPHO;HEART;NP_001101859.1_S523s,1,1,PHOSPHO,1,HEART
Alg11,1,PROT;WAT-SC;NP_001101871.1,1,1,PROT,1,WAT-SC
Fech,1,PROT;LIVER;NP_001101904.1,1,1,PROT,1,LIVER
Nomo1,1,PROT;SKM-GN;NP_001101954.1,1,1,PROT,1,SKM-GN
Pik3c2a,1,PHOSPHO;WAT-SC;NP_001101970.1_S51s,1,1,PHOSPHO,1,WAT-SC
Dpf2,1,PROT;WAT-SC;NP_001101986.1,1,1,PROT,1,WAT-SC
Patl1,1,PHOSPHO;SKM-GN;NP_001101990.1_T194t,1,1,PHOSPHO,1,SKM-GN
Noc3l,1,PHOSPHO;HEART;NP_001101993.1_S271s,1,1,PHOSPHO,1,HEART
Cutc,1,PROT;SKM-GN;NP_001101995.1,1,1,PROT,1,SKM-GN
Snrpb2,1,PROT;LIVER;NP_001102062.1,1,1,PROT,1,LIVER
Pard6b,1,PROT;WAT-SC;NP_001102079.1,1,1,PROT,1,WAT-SC
Znrf2,1,PHOSPHO;SKM-GN;NP_001102098.1_S148s,1,1,PHOSPHO,1,SKM-GN
Mrpl53,1,PROT;SKM-GN;NP_001102105.1,1,1,PROT,1,SKM-GN
Topors,1,PHOSPHO;LIVER;NP_001102128.1_S553s,1,1,PHOSPHO,1,LIVER
Smc2,1,PROT;LUNG;NP_001102136.2,1,1,PROT,1,LUNG
Ror1,1,PROT;LUNG;NP_001102141.1,1,1,PROT,1,LUNG
Emc1,1,PROT;WAT-SC;NP_001102160.1,1,1,PROT,1,WAT-SC
Rbp7,1,PROT;HEART;NP_001102163.1,1,1,PROT,1,HEART
Dnajc11,2,PROT;LIVER;NP_001102164.1|PHOSPHO;LIVER;NP_001102164.1_S26s,2,2,"PHOSPHO,PROT",1,LIVER
Prxl2b,1,PROT;HEART;NP_001102167.1,1,1,PROT,1,HEART
Rbks,1,PROT;LUNG;NP_001102173.1,1,1,PROT,1,LUNG
Glrx5,1,PROT;SKM-GN;NP_001102192.1,1,1,PROT,1,SKM-GN
Ilvbl,1,PROT;WAT-SC;NP_001102208.1,1,1,PROT,1,WAT-SC
Appl2,1,PHOSPHO;LIVER;NP_001102211.1_T399t,1,1,PHOSPHO,1,LIVER
Elk3,1,PROT;LUNG;NP_001102213.1,1,1,PROT,1,LUNG
Pik3r4,1,PHOSPHO;LUNG;NP_001102247.1_S895s,1,1,PHOSPHO,1,LUNG
Ccdc115,1,PROT;LIVER;NP_001102263.1,1,1,PROT,1,LIVER
Eif4e2,1,PROT;SKM-GN;NP_001102278.1,1,1,PROT,1,SKM-GN
Atg16l1,1,PHOSPHO;HEART;NP_001102279.2_S269s,1,1,PHOSPHO,1,HEART
Snx12,1,PHOSPHO;SKM-GN;NP_001102287.2_S73s,1,1,PHOSPHO,1,SKM-GN
Gla,1,PROT;LIVER;NP_001102290.2,1,1,PROT,1,LIVER
Abcd1,1,PROT;HEART;NP_001102291.1,1,1,PROT,1,HEART
Elavl1,1,PROT;LIVER;NP_001102318.1,1,1,PROT,1,LIVER
Trappc5,1,PROT;LIVER;NP_001102320.1,1,1,PROT,1,LIVER
Dnajc9,1,PROT;LIVER;NP_001102335.1,1,1,PROT,1,LIVER
Prmt5,1,PROT;LIVER;NP_001102337.2,1,1,PROT,1,LIVER
Cideb,1,PHOSPHO;LIVER;NP_001102339.1_S62s,1,1,PHOSPHO,1,LIVER
Gcdh,1,PROT;SKM-GN;NP_001102366.1,1,1,PROT,1,SKM-GN
Chmp2a,1,PROT;LIVER;NP_001102376.1,1,1,PROT,1,LIVER
Mblac2,1,PROT;HEART;NP_001102404.1,1,1,PROT,1,HEART
Slc25a44,1,PROT;LIVER;NP_001102417.1,1,1,PROT,1,LIVER
Myorg,1,PHOSPHO;SKM-GN;NP_001102441.1_S19s,1,1,PHOSPHO,1,SKM-GN
Dtd2,1,PROT;WAT-SC;NP_001102451.1,1,1,PROT,1,WAT-SC
Cfl2,2,PHOSPHO;LIVER;NP_001102452.2_S24s|PHOSPHO;LIVER;NP_001102452.2_S3s,2,1,PHOSPHO,1,LIVER
Pym1,1,PROT;LIVER;NP_001102456.1,1,1,PROT,1,LIVER
Pnn,1,PROT;LIVER;NP_001102493.1,1,1,PROT,1,LIVER
Stard13,2,PHOSPHO;LUNG;NP_001102530.1_S342s|PHOSPHO;LUNG;XP_006248805.1_S342s,2,1,PHOSPHO,1,LUNG
Ascc2,1,PHOSPHO;LIVER;NP_001102561.1_T528t,1,1,PHOSPHO,1,LIVER
Myoz1,1,PHOSPHO;SKM-GN;NP_001102567.1_S39s,1,1,PHOSPHO,1,SKM-GN
Tubb2a,1,PROT;LIVER;NP_001102589.1,1,1,PROT,1,LIVER
Phlpp2,1,PHOSPHO;HEART;NP_001102601.1_S1279s,1,1,PHOSPHO,1,HEART
Pex1,1,PROT;WAT-SC;NP_001102690.1,1,1,PROT,1,WAT-SC
Tmem70,1,PROT;WAT-SC;NP_001102728.1,1,1,PROT,1,WAT-SC
Kics2,1,PROT;WAT-SC;NP_001102757.2,1,1,PROT,1,WAT-SC
H2ax,1,PROT;WAT-SC;NP_001102761.1,1,1,PROT,1,WAT-SC
Tusc2,1,PROT;KIDNEY;NP_001102767.1,1,1,PROT,1,KIDNEY
Stradb,1,PROT;HEART;NP_001102777.2,1,1,PROT,1,HEART
Amer1,1,PHOSPHO;LIVER;NP_001102790.1_S146s,1,1,PHOSPHO,1,LIVER
Pwwp3b,1,PHOSPHO;SKM-GN;NP_001102791.1_S673s,1,1,PHOSPHO,1,SKM-GN
F8a1,1,PROT;HEART;NP_001102793.1,1,1,PROT,1,HEART
Dpm3,1,PROT;LIVER;NP_001102801.1,1,1,PROT,1,LIVER
Alkbh7,1,PROT;LIVER;NP_001102854.1,1,1,PROT,1,LIVER
Mad1l1,1,PROT;LIVER;NP_001102857.1,1,1,PROT,1,LIVER
Pex10,1,PROT;LIVER;NP_001102875.1,1,1,PROT,1,LIVER
Apoc4,1,PROT;HEART;NP_001102889.1,1,1,PROT,1,HEART
Acot4,1,PHOSPHO;LIVER;NP_001102910.1_T413t,1,1,PHOSPHO,1,LIVER
Mtres1,1,PROT;LIVER;NP_001102918.1,1,1,PROT,1,LIVER
Glyctk,1,PHOSPHO;HEART;NP_001102919.1_S362s,1,1,PHOSPHO,1,HEART
Mcrip2,1,PHOSPHO;HEART;NP_001102945.1_S61s,1,1,PHOSPHO,1,HEART
Dnal1,1,PROT;SKM-GN;NP_001102947.2,1,1,PROT,1,SKM-GN
Nme4,1,PROT;KIDNEY;NP_001102948.1,1,1,PROT,1,KIDNEY
Ubxn2a,1,PHOSPHO;HEART;NP_001102952.1_S154s,1,1,PHOSPHO,1,HEART
Commd2,1,PROT;LUNG;NP_001102973.1,1,1,PROT,1,LUNG
Hdhd3,1,PROT;SKM-GN;NP_001102981.1,1,1,PROT,1,SKM-GN
Kin,1,PHOSPHO;LIVER;NP_001102999.1_S320s,1,1,PHOSPHO,1,LIVER
Pdcd2l,1,PROT;WAT-SC;NP_001103014.1,1,1,PROT,1,WAT-SC
Ppp1r3d,1,PROT;WAT-SC;NP_001103034.1,1,1,PROT,1,WAT-SC
690300,1,PROT;SKM-GN;NP_001103045.1,1,1,PROT,1,SKM-GN
Cox11,1,PROT;SKM-GN;NP_001103045.1,1,1,PROT,1,SKM-GN
Lpal2,1,PROT;KIDNEY;NP_001103048.1,1,1,PROT,1,KIDNEY
Jsrp1,1,PROT;SKM-GN;NP_001103061.1,1,1,PROT,1,SKM-GN
Hint1,1,PROT;WAT-SC;NP_001103077.1,1,1,PROT,1,WAT-SC
Kctd4,1,PROT;WAT-SC;NP_001103120.1,1,1,PROT,1,WAT-SC
Akr1c15,1,PROT;HEART;NP_001103370.1,1,1,PROT,1,HEART
Hnrnpm,1,PROT;LIVER;NP_001103381.1,1,1,PROT,1,LIVER
Atp2a2,2,PHOSPHO;SKM-GN;NP_001103609.1_S488s|PHOSPHO;SKM-GN;NP_001104293.1_S488s,2,1,PHOSPHO,1,SKM-GN
Cog2,1,PROT;LIVER;NP_001103964.1,1,1,PROT,1,LIVER
Grik1,1,PROT;LIVER;NP_001104587.1,1,1,PROT,1,LIVER
Wtap,1,PROT;LIVER;NP_001107014.1,1,1,PROT,1,LIVER
Cdk2ap1,1,PROT;LIVER;NP_001107223.1,1,1,PROT,1,LIVER
Emc2,1,PROT;LIVER;NP_001107257.1,1,1,PROT,1,LIVER
Selenom,1,PROT;SKM-GN;NP_001108485.1,1,1,PROT,1,SKM-GN
Eif3i,1,PROT;WAT-SC;NP_001108507.1,1,1,PROT,1,WAT-SC
Mtif3,1,PROT;SKM-GN;NP_001108513.2,1,1,PROT,1,SKM-GN
Letmd1,1,PROT;LIVER;NP_001116253.3,1,1,PROT,1,LIVER
Lsm6,1,PROT;LIVER;NP_001119557.1,1,1,PROT,1,LIVER
Lyrm2,1,PROT;LIVER;NP_001119568.1,1,1,PROT,1,LIVER
Uqcr11,1,PROT;LIVER;NP_001119569.1,1,1,PROT,1,LIVER
Triap1,1,PROT;SKM-GN;NP_001119571.1,1,1,PROT,1,SKM-GN
Glyatl1,1,PROT;LIVER;NP_001119750.1,1,1,PROT,1,LIVER
Hdac8,1,PROT;KIDNEY;NP_001119845.2,1,1,PROT,1,KIDNEY
Wdr91,1,PHOSPHO;LIVER;NP_001120770.2_S347sS349s,1,1,PHOSPHO,1,LIVER
Cul4a,1,PHOSPHO;SKM-GN;NP_001120773.1_S10s,1,1,PHOSPHO,1,SKM-GN
Adnp2,1,PROT;HEART;NP_001120845.1,1,1,PROT,1,HEART
Ramac,1,PROT;WAT-SC;NP_001120923.1,1,1,PROT,1,WAT-SC
Agk,1,PROT;LIVER;NP_001120969.1,1,1,PROT,1,LIVER
Gas2,2,PROT;LIVER;NP_001120976.1|PHOSPHO;LIVER;XP_017445047.1_S184s,2,2,"PHOSPHO,PROT",1,LIVER
Txndc11,1,PROT;LIVER;NP_001121004.1,1,1,PROT,1,LIVER
Ildr1,1,PROT;LIVER;NP_001121008.2,1,1,PROT,1,LIVER
Sbk2,1,PROT;SKM-GN;NP_001121011.1,1,1,PROT,1,SKM-GN
Fbln1,1,PROT;HEART;NP_001121019.1,1,1,PROT,1,HEART
Llgl2,1,PROT;HEART;NP_001121021.1,1,1,PROT,1,HEART
Nudt16,1,PROT;LUNG;NP_001121026.1,1,1,PROT,1,LUNG
Txlna,1,PROT;WAT-SC;NP_001121105.1,1,1,PROT,1,WAT-SC
Bco2,1,PROT;LIVER;NP_001121184.1,1,1,PROT,1,LIVER
Fam185a,1,PROT;HEART;NP_001121660.1,1,1,PROT,1,HEART
Rcc1,2,PHOSPHO;LIVER;NP_001121661.1_S11s|PROT;LIVER;XP_017449113.1,2,2,"PHOSPHO,PROT",1,LIVER
Bag2,1,PROT;HEART;NP_001121667.1,1,1,PROT,1,HEART
Sepsecs,2,PHOSPHO;LIVER;NP_001121759.1_S469s|PHOSPHO;LIVER;NP_001121759.1_S469sS472s,2,1,PHOSPHO,1,LIVER
Ehbp1l1,1,PROT;SKM-GN;NP_001123469.1,1,1,PROT,1,SKM-GN
Adsl,1,PROT;LIVER;NP_001123975.1,1,1,PROT,1,LIVER
Sntb1,1,PHOSPHO;SKM-GN;NP_001124014.1_S227s,1,1,PHOSPHO,1,SKM-GN
Rrm2b,1,PROT;LIVER;NP_001124015.1,1,1,PROT,1,LIVER
Fam83h,1,PHOSPHO;LUNG;NP_001124037.1_T1059t,1,1,PHOSPHO,1,LUNG
Xpnpep3,1,PROT;LIVER;NP_001124054.2,1,1,PROT,1,LIVER
Dnlz,1,PROT;HEART;NP_001124462.1,1,1,PROT,1,HEART
Fkbp2,1,PROT;LIVER;NP_001127901.1,1,1,PROT,1,LIVER
Atp23,1,PROT;WAT-SC;NP_001127938.1,1,1,PROT,1,WAT-SC
Camsap2,1,PHOSPHO;LUNG;NP_001127975.1_S420s,1,1,PHOSPHO,1,LUNG
Copa,1,PROT;WAT-SC;NP_001128012.1,1,1,PROT,1,WAT-SC
Gpatch2l,1,PHOSPHO;LIVER;NP_001128031.1_S137s,1,1,PHOSPHO,1,LIVER
RGD1566265,1,PROT;LIVER;NP_001128061.1,1,1,PROT,1,LIVER
Fam135a,1,PHOSPHO;HEART;NP_001128069.1_S934s,1,1,PHOSPHO,1,HEART
Cfap119,1,PHOSPHO;LUNG;NP_001128166.2_T322t,1,1,PHOSPHO,1,LUNG
Ttc9,1,PROT;SKM-GN;NP_001128203.1,1,1,PROT,1,SKM-GN
Agpat5,1,PROT;LIVER;NP_001128216.1,1,1,PROT,1,LIVER
Gnpnat1,1,PROT;LIVER;NP_001128229.1,1,1,PROT,1,LIVER
Hnrnpl,2,PROT;LIVER;NP_001128232.1|PHOSPHO;LIVER;NP_001128232.1_S78s,2,2,"PHOSPHO,PROT",1,LIVER
Hip1r,1,PROT;LIVER;NP_001128235.1,1,1,PROT,1,LIVER
Parvb,1,PROT;SKM-GN;NP_001128252.1,1,1,PROT,1,SKM-GN
Sgcd,1,PROT;SKM-GN;NP_001128298.1,1,1,PROT,1,SKM-GN
Fahd2a,1,PROT;SKM-GN;NP_001128306.1,1,1,PROT,1,SKM-GN
Trps1,1,PROT;WAT-SC;NP_001128309.1,1,1,PROT,1,WAT-SC
Tbc1d31,1,PHOSPHO;LIVER;NP_001128314.1_S838s,1,1,PHOSPHO,1,LIVER
Zc3h3,1,PROT;LIVER;NP_001128337.1,1,1,PROT,1,LIVER
Nt5dc3,1,PROT;SKM-GN;NP_001128359.1,1,1,PROT,1,SKM-GN
Ahdc1,1,PHOSPHO;LIVER;NP_001128428.1_S1496s,1,1,PHOSPHO,1,LIVER
Crispld1,1,PROT;HEART;NP_001128435.1,1,1,PROT,1,HEART
Ca13,1,PROT;LUNG;NP_001128465.1,1,1,PROT,1,LUNG
Gnpda1,1,PROT;LUNG;NP_001128467.1,1,1,PROT,1,LUNG
Pabpn1,1,PROT;LIVER;NP_001128480.1,1,1,PROT,1,LIVER
Mcpt8l2,1,PROT;LIVER;NP_001128482.1,1,1,PROT,1,LIVER
Myh2,21,PROT;SKM-GN;NP_001128629.1|PHOSPHO;SKM-GN;NP_001128629.1_S1291s|PHOSPHO;SKM-GN;NP_001128629.1_S1483s|PHOSPHO;SKM-GN;NP_001128629.1_S46s|PHOSPHO;SKM-GN;NP_001128629.1_S625s|PHOSPHO;SKM-GN;NP_001128629.1_T257t|PHOSPHO;SKM-GN;NP_001128629.1_Y622y|ATAC;SKM-GN;chr10:53751200-53751541|ATAC;SKM-GN;chr10:53751604-53752300|ATAC;SKM-GN;chr10:53758890-53759497|ATAC;SKM-GN;chr10:53762704-53762961|ATAC;SKM-GN;chr10:53765004-53765465|ATAC;SKM-GN;chr10:53765612-53766048|ATAC;SKM-GN;chr10:53766415-53766867|ATAC;SKM-GN;chr10:53783691-53784217|ATAC;SKM-GN;chr10:53784829-53785716|ATAC;SKM-GN;chr10:53789580-53790421|ATAC;SKM-GN;chr10:53800108-53800660|ATAC;SKM-GN;chr10:53802309-53802968|ATAC;SKM-GN;chr10:53802998-53803474|ATAC;SKM-GN;chr10:53803530-53804008,21,3,"ATAC,PHOSPHO,PROT",1,SKM-GN
Myh1,15,PHOSPHO;SKM-GN;NP_001128630.1_S1099s|ATAC;SKM-GN;chr10:53751200-53751541|ATAC;SKM-GN;chr10:53751604-53752300|ATAC;SKM-GN;chr10:53758890-53759497|ATAC;SKM-GN;chr10:53762704-53762961|ATAC;SKM-GN;chr10:53765004-53765465|ATAC;SKM-GN;chr10:53765612-53766048|ATAC;SKM-GN;chr10:53766415-53766867|ATAC;SKM-GN;chr10:53783691-53784217|ATAC;SKM-GN;chr10:53784829-53785716|ATAC;SKM-GN;chr10:53789580-53790421|ATAC;SKM-GN;chr10:53800108-53800660|ATAC;SKM-GN;chr10:53802309-53802968|ATAC;SKM-GN;chr10:53802998-53803474|ATAC;SKM-GN;chr10:53803530-53804008,15,2,"ATAC,PHOSPHO",1,SKM-GN
Irgq,1,PROT;LIVER;NP_001129214.2,1,1,PROT,1,LIVER
Gngt2,1,PROT;WAT-SC;NP_001129239.1,1,1,PROT,1,WAT-SC
Ctf2,1,PROT;LIVER;NP_001129272.1,1,1,PROT,1,LIVER
Upf3b,1,PHOSPHO;LIVER;NP_001129345.1_S312s,1,1,PHOSPHO,1,LIVER
Trmu,1,PROT;HEART;NP_001129348.1,1,1,PROT,1,HEART
Gng13,1,PROT;KIDNEY;NP_001129390.1,1,1,PROT,1,KIDNEY
Ttll12,1,PROT;HEART;NP_001129394.1,1,1,PROT,1,HEART
Itsn1,1,PHOSPHO;LIVER;NP_001129568.1_S315s,1,1,PHOSPHO,1,LIVER
Lmtk2,2,PROT;LIVER;NP_001131113.1|PHOSPHO;LIVER;NP_001131113.1_S547s,2,2,"PHOSPHO,PROT",1,LIVER
Gstt3,1,PROT;LIVER;NP_001131115.1,1,1,PROT,1,LIVER
Septin14,1,PROT;HEART;NP_001131142.1,1,1,PROT,1,HEART
Pnpt1,1,PROT;SKM-GN;NP_001135843.1,1,1,PROT,1,SKM-GN
Ube3b,1,PROT;WAT-SC;NP_001137366.1,1,1,PROT,1,WAT-SC
Kiaa0408L,3,PROT;SKM-GN;NP_001138331.2|PHOSPHO;SKM-GN;NP_001138331.2_S591s|PHOSPHO;SKM-GN;NP_001138331.2_S626s,3,2,"PHOSPHO,PROT",1,SKM-GN
Ube2ql1,1,PHOSPHO;SKM-GN;NP_001138635.1_S66s,1,1,PHOSPHO,1,SKM-GN
Nlrp1a,1,PHOSPHO;HEART;NP_001139227.2_S114s,1,1,PHOSPHO,1,HEART
Ganc,1,PROT;LIVER;NP_001139312.1,1,1,PROT,1,LIVER
Gsta3,2,PHOSPHO;LIVER;NP_001153211.1_S142s|PHOSPHO;LIVER;NP_001153211.1_Y132y,2,1,PHOSPHO,1,LIVER
LOC100302372,1,PROT;WAT-SC;NP_001156369.1,1,1,PROT,1,WAT-SC
Get4,1,PROT;LIVER;NP_001156792.1,1,1,PROT,1,LIVER
Smim1,1,PHOSPHO;LIVER;NP_001157195.1_S17s,1,1,PHOSPHO,1,LIVER
Tmem11,1,PROT;SKM-GN;NP_001158015.1,1,1,PROT,1,SKM-GN
Cuta,1,PROT;WAT-SC;NP_001158178.1,1,1,PROT,1,WAT-SC
Ddah2,1,PROT;LUNG;NP_001159408.1,1,1,PROT,1,LUNG
Usp12,1,PROT;LIVER;NP_001160048.1,1,1,PROT,1,LIVER
Mier3,1,PHOSPHO;LIVER;NP_001161472.1_S129s,1,1,PHOSPHO,1,LIVER
Eif3m,1,PROT;WAT-SC;NP_001161995.1,1,1,PROT,1,WAT-SC
Nup214,1,PHOSPHO;LIVER;NP_001162031.1_T514t,1,1,PHOSPHO,1,LIVER
Wars2,1,PHOSPHO;LIVER;NP_001162112.1_S219sS224s,1,1,PHOSPHO,1,LIVER
Sntb2,1,PHOSPHO;LIVER;NP_001162145.1_S190s,1,1,PHOSPHO,1,LIVER
Pgp,1,PROT;WAT-SC;NP_001162623.1,1,1,PROT,1,WAT-SC
Ppp1r3e,1,PHOSPHO;SKM-GN;NP_001163046.1_S66s,1,1,PHOSPHO,1,SKM-GN
Tyw5,1,PROT;WAT-SC;NP_001163944.1,1,1,PROT,1,WAT-SC
Pi16,1,PROT;SKM-GN;NP_001163952.1,1,1,PROT,1,SKM-GN
Mcc,1,PHOSPHO;LUNG;NP_001164005.2_S354s,1,1,PHOSPHO,1,LUNG
Stt3b,1,PROT;SKM-GN;NP_001164010.1,1,1,PROT,1,SKM-GN
Baz1a,1,PROT;LUNG;NP_001164039.1,1,1,PROT,1,LUNG
Srp72,1,PROT;LIVER;NP_001164072.1,1,1,PROT,1,LIVER
Spink5,1,PROT;KIDNEY;NP_001164077.1,1,1,PROT,1,KIDNEY
Preb,1,PROT;WAT-SC;NP_001164179.1,1,1,PROT,1,WAT-SC
Asb14,1,PROT;SKM-GN;NP_001164220.1,1,1,PROT,1,SKM-GN
Sh3bp1,1,PHOSPHO;LIVER;NP_001165452.1_T672t,1,1,PHOSPHO,1,LIVER
Sco1,1,PHOSPHO;HEART;NP_001166845.1_S113s,1,1,PHOSPHO,1,HEART
RGD1311345,1,PROT;LIVER;NP_001166907.1,1,1,PROT,1,LIVER
RGD1562987,1,PROT;WAT-SC;NP_001166943.1,1,1,PROT,1,WAT-SC
Micos10,1,PROT;LIVER;NP_001167027.1,1,1,PROT,1,LIVER
Ptpn11,3,PROT;HEART;NP_001171064.1|PHOSPHO;HEART;NP_001171064.1_Y546y|PHOSPHO;HEART;NP_001171064.1_Y584y,3,2,"PHOSPHO,PROT",1,HEART
LOC100363129,1,PHOSPHO;LIVER;NP_001171294.1_S19s,1,1,PHOSPHO,1,LIVER
Ubr1,1,PROT;LIVER;NP_001171543.1,1,1,PROT,1,LIVER
Txnrd3,1,PROT;SKM-GN;NP_001171641.1,1,1,PROT,1,SKM-GN
LOC100361087,1,PHOSPHO;LIVER;NP_001177388.1_S98s,1,1,PHOSPHO,1,LIVER
Mical3,2,PHOSPHO;LIVER;NP_001178014.1_S1188s|PHOSPHO;LIVER;NP_001178014.1_S1218s,2,1,PHOSPHO,1,LIVER
Aldh8a1,2,PROT;LIVER;NP_001178017.2|PHOSPHO;LIVER;NP_001178017.2_S251s,2,2,"PHOSPHO,PROT",1,LIVER
Tex28,1,PHOSPHO;LIVER;NP_001178032.1_S104s,1,1,PHOSPHO,1,LIVER
Mtss2,2,PHOSPHO;LUNG;NP_001178487.1_Y618y|PHOSPHO;LUNG;XP_008770734.1_Y655y,2,1,PHOSPHO,1,LUNG
Trpm3,1,PROT;LIVER;NP_001178491.1,1,1,PROT,1,LIVER
Dip2a,1,PHOSPHO;LIVER;NP_001178493.1_S92s,1,1,PHOSPHO,1,LIVER
Nmral1,1,PROT;SKM-GN;NP_001178517.1,1,1,PROT,1,SKM-GN
Mrps36,1,PROT;SKM-GN;NP_001178534.1,1,1,PROT,1,SKM-GN
S100a13,1,PHOSPHO;SKM-GN;NP_001178536.1_S32s,1,1,PHOSPHO,1,SKM-GN
Fcho2,1,PHOSPHO;LUNG;NP_001178561.1_S433s,1,1,PHOSPHO,1,LUNG
Gbf1,1,PROT;LIVER;NP_001178563.1,1,1,PROT,1,LIVER
Alkbh5,1,PROT;WAT-SC;NP_001178572.1,1,1,PROT,1,WAT-SC
Tlk2,2,PHOSPHO;LIVER;NP_001178581.1_S144s|PHOSPHO;LIVER;NP_001178581.1_S73s,2,1,PHOSPHO,1,LIVER
Dop1b,1,PHOSPHO;LUNG;NP_001178589.1_S678s,1,1,PHOSPHO,1,LUNG
Ddx20,1,PHOSPHO;SKM-GN;NP_001178640.1_S568s,1,1,PHOSPHO,1,SKM-GN
Smtnl1,1,PHOSPHO;SKM-GN;NP_001178668.1_S312s,1,1,PHOSPHO,1,SKM-GN
Dnajc17,1,PROT;LIVER;NP_001178669.1,1,1,PROT,1,LIVER
Ap4e1,1,PROT;WAT-SC;NP_001178671.1,1,1,PROT,1,WAT-SC
Samhd1,2,PROT;LIVER;NP_001178672.1|PHOSPHO;LIVER;NP_001178672.1_S606s,2,2,"PHOSPHO,PROT",1,LIVER
C8b,1,PROT;HEART;NP_001178688.1,1,1,PROT,1,HEART
Ago1,1,PROT;SKM-GN;NP_001178694.1,1,1,PROT,1,SKM-GN
Plekhh2,2,PROT;LUNG;NP_001178699.2|PHOSPHO;LUNG;NP_001178699.2_S380s,2,2,"PHOSPHO,PROT",1,LUNG
Casp14,1,PROT;WAT-SC;NP_001178705.1,1,1,PROT,1,WAT-SC
Amdhd1,2,PROT;LIVER;NP_001178710.1|PHOSPHO;LIVER;NP_001178710.1_S28s,2,2,"PHOSPHO,PROT",1,LIVER
Ubash3b,1,PHOSPHO;HEART;NP_001178721.1_S366s,1,1,PHOSPHO,1,HEART
Supt6h,1,PROT;LIVER;NP_001178749.1,1,1,PROT,1,LIVER
Frmd4a,1,PROT;LIVER;NP_001178750.1,1,1,PROT,1,LIVER
Dcp1a,1,PHOSPHO;LUNG;NP_001178760.1_S542s,1,1,PHOSPHO,1,LUNG
Foxo1,1,PHOSPHO;LUNG;NP_001178775.1_S270s,1,1,PHOSPHO,1,LUNG
Tmem87b,1,PHOSPHO;HEART;NP_001178783.1_S497s,1,1,PHOSPHO,1,HEART
Rbm33,1,PROT;LIVER;NP_001178788.1,1,1,PROT,1,LIVER
Syde1,1,PHOSPHO;LIVER;NP_001178805.1_S648s,1,1,PHOSPHO,1,LIVER
Puf60,1,PHOSPHO;LIVER;NP_001178809.1_T315tT318t,1,1,PHOSPHO,1,LIVER
Nme6,1,PROT;LIVER;NP_001178813.1,1,1,PROT,1,LIVER
Mid2,1,PHOSPHO;HEART;NP_001178818.1_Y727y,1,1,PHOSPHO,1,HEART
